cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season,class
1.07,b,t,y,f,,c,k,3.73,2.73,,,n,,,t,f,,m,u,p
8.82,x,y,n,f,,,w,7.91,26.45,b,,n,,w,t,e,,d,a,e
5.79,x,h,g,f,a,d,n,6.09,4.55,,t,w,,,t,l,,d,a,e
2.75,f,h,y,f,,,n,8.08,3.21,,,y,,,f,f,,g,a,p
8.61,x,h,r,f,,c,w,11.4,15.33,,,w,u,w,t,p,,d,u,p
7.64,x,i,n,f,a,c,k,8.04,8.61,,i,n,,k,t,z,k,g,u,p
9.06,x,,u,t,x,,u,8.1,18.63,s,,u,,u,f,f,,d,a,p
4.25,x,s,n,f,p,,n,6.08,11.42,,,n,,,f,f,,d,u,e
17.97,f,y,n,f,,,w,23.53,18.0,s,,n,,,t,m,,d,u,e
3.4,b,t,n,f,,,n,8.09,5.49,,,w,,,t,,k,g,w,p
5.65,s,h,n,t,d,,g,4.38,11.95,,t,n,,,f,f,,d,a,p
4.5,x,,n,f,x,c,w,8.24,9.54,b,,w,,w,t,,,g,s,e
2.56,x,h,p,f,a,c,o,4.08,6.56,,,o,,,f,f,,m,a,e
2.99,f,s,w,f,d,d,w,2.9,5.21,,,w,,,f,f,,m,a,e
2.69,b,y,n,f,,c,g,5.5,4.15,s,s,w,,,f,f,,d,a,p
21.02,x,s,k,f,p,,y,5.06,34.36,,,n,,,f,f,,d,a,p
1.23,b,g,g,f,,,g,3.82,1.76,,,w,,,f,f,,d,a,e
18.34,s,k,w,t,d,d,n,6.22,30.25,,,w,,,f,f,,d,w,p
8.94,x,,w,f,x,c,w,9.2,10.46,r,i,w,,,f,f,,d,a,p
4.04,x,,r,f,a,,r,5.87,7.55,,,w,,,f,f,,l,a,e
4.03,x,t,y,f,a,c,y,5.53,7.72,,g,o,,,f,f,,g,a,p
4.65,f,,n,f,x,c,w,6.39,3.51,,,w,,,f,f,,d,a,e
6.8,s,,r,t,d,,o,5.06,11.89,,,w,,,t,f,,d,a,p
14.7,x,k,w,t,d,d,n,6.71,30.67,,,w,,,f,f,,d,u,p
5.02,x,,w,f,e,,w,5.4,11.67,b,,y,u,y,t,g,,d,u,e
2.93,f,d,b,f,x,c,w,4.76,3.24,b,s,n,,,f,f,,l,a,p
3.71,x,s,y,f,,c,y,9.19,7.67,,,y,u,w,t,z,r,d,a,p
0.78,x,g,y,f,,,y,3.54,0.77,,,w,,,f,f,,d,u,p
7.52,x,l,w,f,d,,p,3.53,9.66,,,w,,,f,f,,d,a,e
4.63,x,t,o,f,a,c,n,5.33,7.07,,y,o,,,t,z,,d,w,p
5.23,x,k,n,f,a,c,y,5.44,6.06,,i,n,,,t,,,d,a,p
1.97,f,i,k,f,a,,p,4.0,2.55,,,w,,,f,f,p,g,a,p
5.75,x,t,o,f,a,d,y,7.91,5.98,,s,n,,,f,f,,d,s,e
2.26,x,y,o,f,a,,o,3.01,5.13,,,o,,,f,f,,m,a,p
3.03,f,w,o,t,d,c,y,3.41,6.92,,,n,,,f,f,,d,a,p
2.92,b,y,n,f,,c,k,6.33,3.13,,,w,,,f,f,,d,a,e
8.69,s,t,g,t,d,,w,4.66,12.08,,t,g,,,f,f,,d,a,p
4.83,x,t,o,f,a,c,y,6.16,7.26,,g,o,,,f,f,,g,u,p
4.65,x,y,n,f,s,,g,4.25,7.26,,,w,,,f,f,,d,u,e
3.7,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s,p
11.57,x,e,n,t,p,,e,8.91,33.2,,,u,,,f,f,,d,a,p
6.73,s,l,w,f,d,,w,3.47,8.99,,,w,,,f,f,,g,a,e
3.88,s,,u,f,a,,w,4.55,7.1,,,w,,,f,f,,d,u,p
4.46,o,l,n,f,f,f,f,5.44,19.3,,,n,,,f,f,g,l,a,e
7.08,x,,n,f,s,c,p,4.8,17.61,b,,u,,,f,f,,g,a,e
8.86,x,h,n,t,p,,n,6.36,16.55,,,n,,w,t,p,,d,u,e
1.6,x,g,n,f,d,d,n,1.88,2.35,,s,n,,,f,f,,h,a,p
2.24,b,g,y,f,,c,n,6.29,3.38,,,n,,,f,f,,m,a,p
2.85,f,,n,f,x,c,p,8.02,3.6,,,p,,,f,f,,l,u,p
4.28,f,,y,f,x,,w,5.12,6.54,,,w,,,f,f,,d,a,p
2.45,b,y,n,f,,c,k,5.54,2.4,,,w,,,f,f,,d,a,e
1.56,b,h,n,f,a,,n,3.63,1.23,,t,n,,,f,f,,d,u,p
4.43,x,s,o,f,a,c,y,6.42,8.34,,g,o,,,f,f,,g,a,p
7.69,x,i,n,f,a,c,n,7.99,8.13,,i,n,,k,t,z,k,g,u,p
11.08,x,i,o,f,a,,o,11.02,23.54,r,,o,,,t,r,n,d,a,p
1.97,p,t,n,f,a,c,g,7.0,2.51,,t,y,,,t,e,,m,s,p
4.82,b,y,n,f,,c,g,5.87,4.59,s,s,w,,,f,f,,d,u,p
3.18,b,w,u,f,a,c,g,5.85,6.44,,s,u,,,f,f,,l,a,p
2.19,s,y,n,f,a,d,p,6.52,2.92,,i,n,,,f,f,,h,u,e
6.32,s,l,w,f,d,,p,3.28,7.22,,,w,,,f,f,,d,a,e
7.0,x,d,n,t,p,,y,8.88,17.16,,,y,,,f,f,,d,u,e
11.47,s,s,u,f,x,,n,6.4,22.3,,,n,,,f,f,,d,u,e
4.54,f,t,n,f,d,,o,6.17,8.51,,t,w,,,f,f,,d,w,e
20.98,p,d,e,f,p,,w,17.29,35.42,s,y,w,,,f,f,,d,u,e
7.77,x,d,n,t,p,,y,8.54,16.59,,,y,,,f,f,,d,a,e
6.96,f,s,n,f,s,c,w,5.56,9.99,b,i,n,,,f,f,,g,a,e
1.43,c,g,n,t,a,,w,6.09,1.01,,,n,,,f,f,,d,u,e
6.22,s,,n,f,,,w,4.62,23.12,,,n,,,f,f,,d,u,e
6.36,s,w,y,f,f,f,f,6.01,15.5,,,y,,,f,f,,d,a,e
6.41,f,s,u,f,a,c,w,4.12,15.49,,,w,,,f,f,,d,u,e
3.2,b,,g,f,a,,n,9.9,2.59,,,n,,w,f,f,k,g,a,p
22.26,x,g,n,f,p,,y,6.14,45.1,,,n,,,f,f,,d,a,p
9.64,p,i,n,t,e,,p,8.49,15.33,,y,w,,,t,l,,d,a,e
6.21,s,d,n,t,d,c,w,4.83,8.16,,,n,,,f,f,,d,a,p
5.62,c,e,y,t,x,c,y,5.04,12.51,,,w,,,f,f,,g,a,p
6.43,p,,n,f,f,f,f,5.54,20.09,,,n,,,f,f,,d,s,e
11.25,f,t,n,t,d,c,n,5.75,16.43,,,n,,,f,f,,d,u,p
2.82,f,d,n,f,x,c,w,3.63,2.8,b,s,n,,,f,f,,d,a,p
2.8,o,,k,f,f,f,f,2.79,13.82,,g,n,,,f,f,,d,a,p
7.71,x,y,n,f,e,c,p,5.37,10.11,,y,n,,,f,f,,d,a,e
12.51,s,e,g,f,d,c,w,10.12,25.57,s,,w,,,f,f,,d,w,e
3.49,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a,p
3.27,x,,b,f,,d,u,6.5,4.92,,,w,,,f,f,,d,a,e
6.78,x,d,n,t,p,,y,5.1,10.9,,,e,,,f,f,,d,a,e
10.29,x,e,l,f,x,c,w,6.82,19.09,,,w,,,f,f,,d,u,e
1.67,b,h,n,f,a,,n,4.61,1.58,,t,n,,,f,f,,d,u,p
1.88,b,,n,f,a,,g,5.08,2.19,,s,g,,,f,f,,d,a,p
8.53,f,,y,f,x,c,n,6.6,12.18,,,w,,,f,f,,d,a,p
4.86,x,s,n,f,p,,n,4.48,9.95,,,n,,,f,f,,d,a,e
3.96,x,y,n,f,a,,w,5.77,3.63,,y,y,,,t,r,,g,u,p
7.7,x,s,w,f,s,c,w,7.11,32.38,,,w,,,f,f,,d,u,e
13.06,x,t,n,t,p,,y,10.18,23.76,,,n,,,f,f,,d,u,e
8.49,x,,g,f,a,,w,7.26,13.85,,,w,,,f,f,,g,a,e
5.22,x,h,n,f,a,d,y,7.25,5.34,,s,n,,,f,f,,d,a,e
15.66,f,s,k,f,a,d,k,8.17,23.18,,,w,,,f,f,w,d,u,e
3.91,x,d,o,f,a,c,o,4.34,6.72,,,o,,,f,f,,g,w,e
1.45,x,k,n,f,,,n,3.94,1.44,,,n,,,f,f,,d,w,p
3.07,f,y,n,f,e,c,n,4.63,3.62,,k,w,,,t,e,,m,a,p
3.43,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s,p
2.25,b,,n,f,a,,g,5.4,2.33,,s,n,,,f,f,,d,u,p
11.89,x,s,n,f,s,,p,7.1,16.58,,i,n,,,f,f,,d,u,p
9.71,x,,n,f,x,c,w,10.65,12.79,r,i,w,,,f,f,,h,a,p
6.33,s,d,n,t,d,c,w,6.62,9.27,,,e,,,f,f,,d,a,p
8.43,x,,e,f,x,c,w,7.93,19.27,,s,w,,,f,f,,d,u,e
6.83,x,h,y,t,x,c,y,7.51,13.15,,,w,,,f,f,,d,a,e
7.41,x,y,y,f,a,c,y,10.17,9.83,,y,n,,,t,,,d,u,p
3.71,o,,k,f,f,f,f,4.62,19.36,,g,n,,,f,f,,d,a,p
4.66,x,y,r,f,s,c,g,5.74,7.3,,y,n,,,t,e,k,d,u,p
10.53,x,i,o,f,a,,y,11.8,22.19,r,,o,,,t,r,n,d,u,p
2.88,f,w,o,t,d,c,y,3.32,4.96,,,n,,,f,f,,d,a,p
8.14,p,g,n,f,e,,w,8.67,15.08,,y,w,u,w,t,p,,d,u,p
2.52,f,y,o,f,d,,o,3.44,6.03,,,o,,,f,f,,h,a,p
5.72,s,,n,f,d,c,w,5.19,8.36,,s,w,,,f,f,,d,u,e
8.84,x,,n,t,,,w,10.87,16.99,b,,w,u,w,t,g,,d,a,e
4.4,x,h,n,f,a,c,n,4.44,6.44,,y,n,,,t,z,,d,a,p
4.14,x,h,n,f,x,c,w,5.41,4.84,,y,n,,,t,r,,d,u,e
0.86,b,t,y,f,,c,k,3.32,2.44,,,n,,,t,f,,g,a,p
6.83,f,,g,f,d,c,w,5.15,10.85,b,,n,,,f,f,,d,w,p
8.59,f,h,n,f,x,,w,15.6,8.25,r,g,n,,,f,f,,d,a,p
7.64,f,t,y,f,x,c,y,6.76,16.5,,,y,,,f,f,,d,a,p
7.53,x,,g,t,p,,g,12.06,25.8,,y,w,,,f,f,,d,u,e
3.31,s,d,g,t,d,c,p,4.63,5.92,,,n,,,f,f,,d,a,e
3.79,x,h,e,f,a,c,o,5.21,6.84,,,e,,,f,f,,m,w,e
3.63,o,,w,f,f,f,f,5.34,30.57,,g,w,,,t,f,,p,u,p
3.9,f,,e,f,x,,w,5.19,6.37,,,w,,,f,f,,d,a,p
1.35,x,,n,f,,,n,4.62,2.36,,s,n,,,f,f,k,g,a,p
3.0,b,y,n,f,,c,n,5.83,2.28,,,w,,,f,f,,d,u,e
6.12,c,t,n,f,e,,w,12.13,12.18,,s,n,u,w,f,f,,d,u,e
52.61,o,y,y,f,p,,y,7.48,44.34,,k,n,,,f,f,,d,s,e
3.44,b,,k,f,a,,n,11.22,2.77,,,g,,w,f,f,k,g,u,p
3.41,x,h,e,f,a,c,o,4.24,6.31,,,o,,,f,f,,g,u,e
8.21,x,h,n,f,p,d,y,8.12,12.92,,s,n,,,f,f,,d,u,e
2.73,s,y,n,f,a,d,p,5.31,3.41,,i,n,,,f,f,,l,u,e
5.27,c,i,y,f,,c,n,7.0,8.07,,,w,,,f,f,,d,a,p
1.83,b,g,y,f,,c,n,6.26,2.89,,,n,,,f,f,,g,u,p
8.74,x,e,n,f,a,,n,7.23,15.52,s,,n,,e,f,f,,d,a,p
2.51,b,g,n,f,x,d,w,4.23,2.95,,,y,,,f,f,,g,a,e
3.79,x,,p,f,x,,w,5.15,6.17,,,w,,,f,f,,d,u,p
4.56,x,,w,f,x,c,w,7.77,8.11,b,,w,,w,t,,,g,s,e
8.21,p,,n,f,p,,w,9.73,23.97,c,,n,,,f,f,w,d,a,p
2.67,x,w,y,f,f,f,f,2.38,10.73,,,y,,,f,f,,d,u,e
6.3,s,,n,f,d,c,w,4.97,7.68,,s,w,,,f,f,,d,a,e
3.75,b,h,n,f,,,k,9.37,6.03,,,w,,,t,,k,g,u,p
7.69,x,,n,t,x,,n,8.34,20.21,s,,u,,u,f,f,,d,a,p
12.42,x,s,n,f,x,,n,8.88,25.66,,,p,,,f,f,,d,u,e
9.93,x,,n,t,,,w,11.23,17.92,b,,w,u,w,t,g,,d,a,e
5.82,x,h,n,f,a,d,n,4.53,4.63,,t,w,,,t,l,,d,a,e
6.66,s,w,y,f,f,f,f,4.69,13.78,,,y,,,f,f,,d,u,e
5.93,x,s,n,f,s,,n,5.06,6.33,,y,n,,,f,f,,d,w,p
4.39,x,,y,f,x,c,w,5.69,3.67,,,w,,,f,f,,d,a,e
6.56,s,,n,f,d,c,w,5.18,7.83,,s,w,,,f,f,,l,u,e
2.64,f,w,n,t,d,c,n,2.31,4.83,,,n,,,f,f,,d,a,p
3.81,f,h,n,f,,c,n,5.93,6.9,,s,w,,w,f,f,k,d,a,e
1.59,x,,n,f,,,n,5.44,2.68,,s,n,,,f,f,k,g,a,p
2.69,x,k,n,f,p,,e,4.21,9.81,,,n,,,f,f,,d,a,e
3.1,x,k,n,f,s,,p,3.83,2.95,,,n,,,f,f,p,g,u,p
4.5,x,i,n,f,e,c,n,4.56,12.28,,,w,,,t,l,,w,u,e
12.56,f,,n,t,,,w,12.19,19.44,b,,w,u,w,t,g,,d,a,e
9.08,x,h,y,f,s,,p,6.28,15.64,,i,n,,,f,f,,d,a,p
2.67,b,y,n,f,,c,k,6.86,3.39,,,w,,,f,f,,d,s,e
6.24,f,s,n,f,x,c,w,7.64,11.31,,s,n,,,f,f,,l,w,e
4.78,x,k,n,f,p,,n,5.68,11.43,,,y,,,f,f,,d,a,e
3.76,f,d,p,f,a,,y,5.56,6.66,,t,r,,,f,f,,d,a,p
5.24,o,l,n,f,f,f,f,6.66,51.28,,,n,,,f,f,g,l,a,e
4.63,o,,w,f,f,f,f,5.83,29.19,,g,w,,,t,f,,d,u,p
0.7,x,,o,f,d,,o,4.88,0.98,,,y,,,f,f,w,g,u,p
7.4,o,k,n,f,,c,y,1.67,14.23,,,y,,,f,f,,d,w,p
2.16,f,,u,f,a,c,n,2.93,3.52,,i,u,,,f,f,,p,u,p
9.76,p,i,n,t,e,,p,8.83,17.94,,y,w,,,t,l,,l,a,e
5.35,s,k,y,f,p,,n,3.7,6.0,,k,n,,,t,f,,d,u,p
4.4,x,,l,f,d,,r,5.86,7.67,,,l,,,f,f,,l,u,e
0.81,x,g,y,f,,,y,3.66,0.82,,,y,,,f,f,,d,a,p
4.23,f,l,e,f,x,d,e,6.98,4.89,,,n,,,f,f,,d,a,p
7.99,p,y,w,f,,,k,13.76,16.63,,,w,,,f,f,,d,a,p
1.39,b,h,n,f,a,,n,3.6,1.26,,t,n,,,f,f,,d,a,p
6.15,x,g,n,f,e,,w,7.45,13.62,,y,w,u,w,t,p,,d,a,p
1.4,x,t,y,f,a,,w,5.83,2.17,,t,y,,,f,f,,g,a,e
2.96,f,y,p,f,e,c,n,4.15,3.3,,k,w,,,t,e,,m,u,p
3.6,b,g,w,f,x,d,w,4.79,2.99,,,y,,,f,f,,g,u,e
3.46,o,,w,f,f,f,f,4.89,24.07,,g,w,,,t,f,,d,u,p
4.03,x,s,e,f,a,c,o,4.98,7.11,,,e,,,f,f,,g,w,e
10.9,x,t,n,t,p,,y,7.56,22.6,,,n,,,f,f,,d,a,e
8.44,f,h,r,f,,c,w,11.99,18.66,,,w,u,w,t,p,,d,a,p
4.61,b,s,n,f,,,g,8.57,11.46,,s,w,,,t,z,,g,w,p
3.9,x,h,n,f,a,c,n,4.15,5.16,,y,o,,,t,z,,d,w,p
8.04,x,h,n,f,p,d,y,5.47,10.49,,s,n,,,f,f,,d,a,e
7.17,f,s,w,f,e,c,n,5.94,13.31,,,w,,w,t,e,,m,u,e
4.11,x,,r,f,d,,r,6.27,8.44,,,r,,,f,f,,l,a,e
6.61,s,d,n,t,d,c,y,6.09,9.78,,,n,,,f,f,,d,a,p
6.35,f,h,k,f,s,d,g,6.23,11.07,,s,g,,,f,f,,d,a,e
4.13,b,t,r,f,s,c,u,5.01,7.1,,y,w,,,t,e,k,d,a,p
10.8,f,e,b,f,,c,b,4.87,19.47,,,w,,,t,f,,d,a,e
10.0,p,,n,f,p,,p,10.15,29.88,c,,n,,,f,f,p,d,u,p
4.31,x,,y,f,x,c,u,6.85,4.16,,,w,,,f,f,,d,a,e
2.28,f,,u,f,a,c,w,4.1,3.75,,i,w,,,f,f,,p,u,p
3.29,x,y,y,f,a,,w,5.67,3.45,,y,y,,,t,r,,h,a,p
2.12,x,s,o,f,d,,y,3.04,5.39,,,o,,,f,f,,m,a,p
11.87,s,t,n,t,d,c,n,6.01,14.31,,,n,,,f,f,,h,u,p
8.25,s,,o,t,d,,o,4.92,12.21,,,w,,,t,f,,d,u,p
11.0,x,t,n,f,a,d,w,11.45,29.51,,,w,,,f,f,,d,u,p
2.21,p,t,n,f,a,c,g,7.27,2.6,,t,y,,,t,e,,m,u,p
3.87,x,i,e,f,,,e,4.66,6.1,,,e,,,f,f,n,d,a,p
3.48,x,d,n,f,p,,y,4.71,10.25,,,n,,,f,f,,d,a,e
9.81,f,y,y,f,,,w,6.56,23.86,b,,n,,w,t,e,,d,w,e
7.94,s,d,o,f,d,d,b,6.9,13.39,,,w,,,f,f,,m,w,e
3.1,x,y,n,f,a,,w,5.63,3.56,,y,y,,,t,r,,g,a,p
0.94,b,g,w,f,,,g,2.57,1.17,,,w,,,f,f,,d,s,e
4.93,x,y,n,f,s,,g,5.06,7.91,,,w,,,f,f,,d,u,e
16.64,x,k,w,t,d,d,w,8.05,35.0,,,w,,,f,f,,d,a,p
7.33,x,,u,t,x,,u,7.59,17.84,s,,n,,u,f,f,,d,a,p
2.73,s,w,n,t,d,c,y,3.27,5.15,,,n,,,f,f,,d,a,p
1.44,c,g,n,f,a,,g,4.87,1.29,,,g,,,f,f,,d,a,e
3.6,f,,p,f,x,,w,4.94,6.49,,,w,,,f,f,,d,u,p
3.46,x,d,n,f,p,,n,3.98,10.49,,,n,,,f,f,,d,a,e
5.94,b,k,n,f,d,c,y,4.51,5.85,,i,n,,,t,,,d,a,p
7.68,x,y,w,t,,,p,8.0,13.93,s,,w,,,t,l,,g,a,p
6.1,f,s,w,f,e,c,n,5.03,12.18,,,w,,w,t,e,,m,u,e
9.94,f,y,n,f,,,w,6.59,24.89,b,,n,,w,t,e,,d,a,e
9.16,f,,e,f,x,c,w,7.54,18.61,,s,w,,,f,f,,d,a,e
11.49,x,s,u,f,x,,n,8.22,27.19,,,p,,,f,f,,d,w,e
8.66,s,t,p,t,d,c,p,7.76,12.47,,,p,,,t,f,,d,u,p
2.21,x,,u,f,,d,u,6.01,4.11,,,w,,,f,f,,d,a,e
4.19,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,a,p
6.3,s,t,r,t,d,,w,4.45,12.34,,t,g,,,f,f,,d,u,p
3.91,b,t,n,f,x,c,p,6.17,4.58,,i,g,,,f,f,,d,u,p
14.59,x,y,n,t,e,,w,10.09,17.95,,,w,,,t,,,d,a,e
0.7,x,g,p,f,a,,p,3.43,0.96,,s,k,,,f,f,,d,u,p
6.98,f,w,e,f,x,,w,13.02,6.86,r,g,n,,,f,f,,d,a,p
9.86,x,t,n,f,a,d,w,9.86,27.02,,,w,,,f,f,,d,u,p
4.23,s,l,n,f,f,f,f,5.58,23.83,,,n,,,f,f,g,d,w,e
2.76,b,g,n,f,x,d,w,3.6,2.45,,,y,,,f,f,,g,a,e
10.25,x,s,w,f,s,c,w,7.67,33.87,,,w,,,f,f,,m,u,e
15.15,x,e,g,f,d,c,w,8.41,24.93,s,,w,,,f,f,,l,a,e
9.0,p,i,n,t,e,,p,8.37,16.09,,y,w,,,t,p,,d,a,e
2.73,b,,g,f,a,,g,4.78,1.92,,s,n,,,f,f,,d,a,p
6.16,x,d,e,t,p,,y,5.16,12.33,,,y,,,f,f,,d,a,e
5.73,x,d,e,t,d,c,w,7.67,9.98,,,e,,,f,f,,d,a,p
9.3,x,t,n,f,a,d,w,8.56,24.88,,,w,,,f,f,,d,u,p
1.43,b,g,y,f,,c,n,5.25,2.69,,,n,,,f,f,,g,a,p
5.9,f,w,n,f,x,,w,10.17,7.2,r,g,n,,,f,f,,d,a,p
14.22,s,k,w,t,d,d,w,6.91,31.16,,,w,,,f,f,,d,w,p
2.36,p,t,n,f,a,c,g,7.77,2.46,,t,y,,,t,e,,m,u,p
4.12,f,t,o,f,a,d,y,6.15,5.47,,s,o,,,f,f,,d,s,e
8.48,b,t,w,f,e,c,w,13.28,13.61,,y,w,u,w,t,e,,d,u,p
3.71,f,y,w,f,e,c,n,3.9,3.37,,k,w,,,t,e,,d,a,p
2.64,x,i,k,f,a,,p,5.59,3.0,,,w,,,f,f,p,g,u,p
4.28,f,t,n,f,d,,o,6.16,7.23,,t,o,,,f,f,,d,w,e
12.0,o,,e,f,f,f,f,3.72,26.7,,g,n,,,f,f,,d,u,p
2.46,f,i,l,f,a,,w,3.41,2.38,,,w,,,f,f,p,g,u,p
2.88,f,s,o,f,d,,y,3.07,5.61,,,y,,,f,f,,m,a,p
2.13,p,t,n,f,a,c,n,5.73,2.34,,t,y,,,t,e,,m,u,p
9.42,f,s,k,f,a,c,w,4.47,15.63,,,w,,,f,f,,d,u,e
4.65,f,t,n,f,d,,o,6.37,8.62,,t,o,,,f,f,,d,w,e
8.43,x,t,n,f,p,d,y,6.28,11.67,,s,n,,,f,f,,g,u,e
5.76,x,s,e,f,e,,g,5.08,5.73,,,y,,,f,f,,g,u,p
7.42,x,t,e,f,x,d,w,6.22,17.77,b,,w,,,f,f,,d,a,p
3.04,s,w,u,f,a,c,g,6.35,5.26,,s,u,,,f,f,,l,a,p
11.61,x,h,n,f,s,,y,7.26,18.35,,i,n,,,f,f,,d,a,p
8.77,f,d,w,f,s,c,w,6.48,27.77,,,w,,,f,f,,d,s,e
6.28,x,e,e,f,a,,y,7.16,9.51,,,n,,w,t,z,,d,a,p
2.23,c,,w,f,a,c,w,3.51,3.56,,i,u,,,f,f,,d,u,p
3.3,f,d,g,t,d,c,p,3.79,6.12,,,n,,,f,f,,d,a,e
5.69,f,s,n,f,s,c,w,5.31,8.94,b,i,w,,,f,f,,g,a,e
3.64,b,,n,f,a,,k,10.48,2.71,,,n,,w,f,f,k,g,a,p
2.71,x,g,n,f,a,,w,6.37,2.49,,,n,,,f,f,,d,a,p
3.88,x,k,w,f,s,,p,4.05,3.01,,,n,,,f,f,p,g,u,p
9.77,x,s,n,f,e,c,w,8.17,10.33,,i,w,,,f,f,p,d,w,e
5.53,s,w,y,f,f,f,f,5.47,14.84,,,y,,,f,f,,d,u,e
3.36,x,y,l,f,s,c,g,5.66,7.39,,y,n,,,t,e,k,g,u,p
12.94,x,k,n,t,p,,o,9.48,30.9,c,,y,,,f,f,,d,u,p
6.02,c,h,n,f,e,,w,12.12,12.3,,s,w,u,w,f,f,,d,u,e
6.78,s,,n,t,d,c,b,7.38,7.33,,,n,,,f,f,,d,u,p
3.32,b,h,n,f,,,n,9.89,6.24,,,w,,,t,,k,g,w,p
2.51,f,i,k,f,a,,w,5.03,2.87,,,w,,,f,f,p,g,a,p
3.23,b,d,p,f,a,,y,4.81,6.18,,t,r,,,f,f,,d,a,p
2.82,x,h,n,f,,c,n,5.73,6.56,,s,w,,w,f,f,k,d,u,e
10.68,s,,w,t,d,c,y,6.06,23.96,,,w,,,f,f,,d,a,e
0.79,x,g,e,f,a,,p,4.9,1.13,,s,k,,,f,f,,d,u,p
3.07,x,,y,f,a,c,o,4.01,8.42,,,w,,,f,f,,d,a,e
8.76,x,,g,t,x,,u,10.21,20.64,s,,g,,u,f,f,,d,a,p
10.5,p,,n,f,p,,p,12.26,32.86,c,,n,,,f,f,p,d,u,p
6.51,f,h,n,f,s,,y,7.56,10.6,,t,o,,,f,f,,d,a,e
3.19,o,,g,f,f,f,f,2.8,13.99,,g,g,,,f,f,,d,a,p
4.41,x,s,n,f,p,,n,4.22,11.48,,,n,,,f,f,,d,a,e
4.59,f,t,o,f,a,d,y,5.23,4.99,,k,n,,,f,f,,d,a,e
1.69,c,h,y,f,,,y,7.74,2.93,,,y,,,f,f,,g,a,p
17.91,f,g,o,f,e,,w,17.63,18.15,s,y,w,u,w,t,p,,d,w,p
11.13,s,,n,f,,,w,4.94,22.53,,,n,,,f,f,,d,a,e
1.93,p,t,n,f,a,c,g,6.7,2.6,,t,y,,,t,e,,m,s,p
7.26,x,y,w,t,,,g,6.75,13.41,s,,w,,,t,l,,d,u,p
7.67,f,,y,f,x,c,n,6.5,11.45,,,w,,,f,f,,d,a,p
2.03,p,t,n,f,a,c,n,6.59,2.52,,t,y,,,t,e,,m,s,p
1.07,c,h,y,f,,,n,6.41,2.5,,,y,,,f,f,,g,u,p
0.87,p,g,w,f,,,g,2.73,1.14,,,w,,,f,f,,d,w,e
3.19,s,d,w,f,a,d,w,3.15,2.35,,h,w,,,f,f,,g,u,p
